Product_Title,Price,Shop_Name,Category,Availability,G-Price
COUGAR PURI RGB MECHANICAL GAMING KEYBOARD,6600,Skyland,Keyboard,In Stock,6600
HP GK400Y WIRED MECHANICAL KEYBOARD,3920,Skyland,Keyboard,In Stock,3920
HAVIT HV-KB275L USB GAMING KEYBOARD,900,Skyland,Keyboard,In Stock,900
AULA S2022 MECHANICAL WIRED GAMING KEYBOARD (BLACK),2380,Skyland,Keyboard,In Stock,2380
REDRAGON K630 DRAGONBORN 60% COMPACT RGB MECHANICAL GAMING KEYBOARD,3400,Skyland,Keyboard,In Stock,3400
WALTON WKG004WB HIGH PRECISION GAMING KEYBOARD,950,Skyland,Keyboard,In Stock,950
RAPOO V500S ICE CRYSTAL BACKLIT MECHANICAL GAMING KEYBOARD,3000,Skyland,Keyboard,In Stock,3000
A4 TECH KR-83 USB KEYBOARD,700,Skyland,Keyboard,In Stock,700
ROYAL KLUDGE RK G68 TRI MODE RGB MECHANICAL KEYBOARD (HUANO SWITCH),4600,Skyland,Keyboard,In Stock,4600
ROYAL KLUDGE RK G87 DUAL MODE RGB (BLACK SWITCH) BLACK MECHANICAL GAMING KEYBOARD,4450,RYANS,Keyboard,In Stock,4450
